,time,mag,magerr,filters,username,instrument
0,50.96510419994593,15.815357,0.041540764,r,N/A,ZTF
1,46.98060180013999,16.461147,0.034862768,g,N/A,ZTF
2,43.01937499968335,15.317297,0.037797827,r,N/A,ZTF
3,42.97763889981434,16.230404,0.036019895,g,N/A,ZTF
4,40.979293999727815,16.072498,0.03738737,g,N/A,ZTF
5,34.011828700080514,15.028665,0.048379447000000006,r,N/A,ZTF
6,31.97435180004686,15.136332,0.03654696,g,N/A,ZTF
7,30.02334489999339,14.916434,0.025859874,r,N/A,ZTF
8,28.015798599924892,14.86375,0.033137366,r,N/A,ZTF
9,26.01813660003245,14.679766,0.027924012,r,N/A,ZTF
10,24.04049769975245,14.449664,0.024561005,g,N/A,ZTF
11,23.977916699834168,14.53508,0.027540423,r,N/A,ZTF
12,21.019629599992186,14.24449,0.03182233,g,N/A,ZTF
13,19.019826400093734,14.194915,0.024571378,g,N/A,ZTF
14,17.08032409986481,14.167047,0.021989185,g,N/A,ZTF
15,16.998437500093132,14.253832,0.041598428,r,N/A,ZTF
16,15.059745399747044,14.276534,0.026322627,r,N/A,ZTF
17,15.000879599712789,14.11962,0.025042022,g,N/A,ZTF
18,11.08053239993751,14.280375,0.024184003000000003,g,N/A,ZTF
19,10.97628469998017,14.384567,0.022885844000000002,r,N/A,ZTF
20,7.991492999717593,14.652935,0.012763413000000001,r,N/A,ZTF
21,5.999548600055277,15.021577,0.034253214000000004,g,N/A,ZTF
22,4.0192128997296095,15.59692,0.040889055,g,N/A,ZTF
23,1.9767591999843717,16.423004,0.03328318,g,N/A,ZTF
24,0.0,17.585615,0.038010187,g,N/A,ZTF
25,17.16971063334495,14.099046017511412,0.006836050483616487,R,eggenstein,ZTF21abfaohe
26,14.684652762953192,14.222142521040809,0.00511672042130148,gmag,Taylor,ZTF21abfaohe
27,23.747233781497926,14.372597501559195,0.0043113316693697236,R,Marchais,ZTF21abfaohe
28,14.711192114744335,14.284988443298518,0.007710132769533952,rmag,Taylor,ZTF21abfaohe
29,23.179004614707083,14.567430785761472,0.012130411709726095,R,Jaquiery,ZTF21abfaohe
30,17.177592577878386,14.272753701863504,0.0083664469518609,R,eggenstein,ZTF21abfaohe
31,23.17743054078892,14.331882017571322,0.010914864345370338,R,Jaquiery,ZTF21abfaohe
32,14.763553225900978,14.255930436132669,0.00876695983390421,gmag,Taylor,ZTF21abfaohe
33,17.1701620221138,14.127772940167507,0.008853769118027904,R,eggenstein,ZTF21abfaohe
34,23.092291651759297,14.595001758148092,0.011455086289533083,R,Jaquiery,ZTF21abfaohe
35,23.105208318214864,14.329917744938243,0.00969289649173854,R,Jaquiery,ZTF21abfaohe
36,14.744421281386167,14.24759313387798,0.006682727170634929,gmag,Taylor,ZTF21abfaohe
37,23.119664337020367,14.350836043238065,0.012303486355541753,R,Jaquiery,ZTF21abfaohe
38,27.644270818214864,14.729525933339607,0.015818382756750855,R,Galdies,ZTF21abfaohe
39,14.757129614707083,14.239189812924714,0.0076038417234912834,gmag,Taylor,ZTF21abfaohe
40,50.81947915162891,15.54755587409009,0.07030475124645652,R,Masek,ZTF21abfaohe
41,53.51278933696449,15.82133536748163,0.03655824963138522,R,Team,ZTF21abfaohe
42,23.11532405903563,14.318732055265974,0.008993089004336896,R,Jaquiery,ZTF21abfaohe
43,23.188425911124796,14.959202812103985,0.021346218425732724,R,Jaquiery,ZTF21abfaohe
44,23.183726836927235,14.592360420783763,0.012890741157866733,R,Jaquiery,ZTF21abfaohe
45,23.10952544817701,14.463767697386288,0.009812413603767015,R,Jaquiery,ZTF21abfaohe
46,23.18215276300907,14.233041142962685,0.01244725573086558,R,Jaquiery,ZTF21abfaohe
47,17.168321744538844,14.11825561204136,0.009419844931007833,R,eggenstein,ZTF21abfaohe
48,17.16656248504296,14.112323208132914,0.009447227623652715,R,eggenstein,ZTF21abfaohe
49,17.176701373886317,14.16191637118224,0.008108287365866183,R,eggenstein,ZTF21abfaohe
50,14.678287022281438,14.229022141095111,0.005099745285581304,gmag,Taylor,ZTF21abfaohe
51,50.81789350369945,16.34309102126484,0.0,V,Masek,ZTF21abfaohe
52,16.691689800005406,14.106843064449441,0.0055499073394183395,R,dominique,ZTF21abfaohe
53,17.17104165162891,14.112402960191659,0.009049781637278567,R,eggenstein,ZTF21abfaohe
54,15.63503470737487,14.177134379815516,0.004911886453168448,R,Serrau,ZTF21abfaohe
55,23.102337948046625,14.349217279954338,0.008945332514390869,R,Jaquiery,ZTF21abfaohe
56,27.64711804082617,14.709758780566556,0.01543948429884289,R,Galdies,ZTF21abfaohe
57,17.16921294806525,14.090366007218737,0.009509671817585354,R,eggenstein,ZTF21abfaohe
58,14.750763874035329,14.2433909749438,0.006647885182717693,gmag,Taylor,ZTF21abfaohe
59,14.71780091105029,14.286249612246557,0.007413070456365758,rmag,Taylor,ZTF21abfaohe
60,23.106643503531814,14.417180971175766,0.009869709621722395,R,Jaquiery,ZTF21abfaohe
61,14.697118040639907,14.221200597637695,0.005343109482661927,gmag,Taylor,ZTF21abfaohe
62,23.747233781497926,14.39553751567246,0.0034165902137317725,V,Marchais,ZTF21abfaohe
63,23.174293966498226,14.655442020695205,0.013182468354970639,R,Jaquiery,ZTF21abfaohe
64,23.185289336834103,14.396733225842567,0.015424271193368198,R,Jaquiery,ZTF21abfaohe
65,23.19173609605059,15.000213551159375,0.017453145367188463,R,Jaquiery,ZTF21abfaohe
66,23.180578688625246,11.935427724346201,0.0092090696090775,R,Jaquiery,ZTF21abfaohe
