,time,mag,magerr,filters,username,instrument
0,18.020995299797505,17.81618,0.07697006,g,N/A,ZTF
1,18.020520799793303,17.813469,0.05081485,g,N/A,ZTF
2,17.99876149976626,17.424541,0.058317184,r,N/A,ZTF
3,17.99828699976206,17.396309,0.055957478000000005,r,N/A,ZTF
4,17.021956000011414,17.82531,0.050301775,g,N/A,ZTF
5,16.980092599987984,17.46837,0.056851663000000004,r,N/A,ZTF
6,16.021122599951923,17.449840000000002,0.05755331700000001,r,N/A,ZTF
7,15.991863399744034,17.8226,0.07187598,g,N/A,ZTF
8,15.991400400176644,17.800009,0.057489075,g,N/A,ZTF
9,13.983854100108147,17.466915,0.18859658,r,N/A,ZTF
10,13.03657400002703,17.506308,0.06028406,r,N/A,ZTF
11,13.036099500022829,17.486046,0.0532648,r,N/A,ZTF
12,12.958703699987382,17.811626,0.0775902,g,N/A,ZTF
13,12.95729159982875,17.742615,0.059972199999999996,g,N/A,ZTF
14,9.001388899981976,17.440626,0.034078732,r,N/A,ZTF
15,6.023113399744034,17.509699,0.0618511,r,N/A,ZTF
16,6.002060099970549,17.705124,0.07658448,g,N/A,ZTF
17,5.961643499787897,17.476072,0.059057184000000006,r,N/A,ZTF
18,5.961180499754846,17.469933,0.042582795,r,N/A,ZTF
19,4.000324000138789,17.728308,0.064431615,g,N/A,ZTF
20,3.999375000130385,17.786634,0.069412164,g,N/A,ZTF
21,2.9810994998551905,17.816185,0.050893046000000004,g,N/A,ZTF
22,2.020729099866003,17.808144,0.05092655,g,N/A,ZTF
23,2.020266199950129,17.826223,0.06751878,g,N/A,ZTF
24,1.999351799953729,17.710817,0.05852414,r,N/A,ZTF
25,1.9988772999495268,17.75526,0.056619782,r,N/A,ZTF
26,0.0,18.378342,0.09219718,r,N/A,ZTF
