,time,mag,magerr,filters,username,instrument
0,41.012314800173044,18.716124,0.09299435,r,N/A,ZTF
1,30.936284800060093,18.73143,0.14289819,r,N/A,ZTF
2,24.981122700031847,18.760063,0.10739225000000001,r,N/A,ZTF
3,23.976018600165844,18.691301,0.08710554,r,N/A,ZTF
4,0.007534800097346306,18.783037,0.121108085,r,N/A,ZTF
5,0.0025116000324487686,18.75356,0.099808425,r,N/A,ZTF
6,0.0,18.785524,0.118751906,r,N/A,ZTF
7,0.6222569779492915,18.60125584441815,0.0508521177548669,V,Marchais,ZTF21abultbr
8,0.6222569779492915,18.73709436890349,0.08515880691990896,R,Marchais,ZTF21abultbr
9,0.6664699409157038,18.626154551977265,0.14398698031500567,R,Taylor,ZTF21abultbr
10,0.6554514220915735,18.598154480444585,0.12806278495451956,R,Kugel,ZTF21abultbr
11,0.652337996289134,19.184932239563523,0.3982434099968449,R,Taylor,ZTF21abultbr
12,0.6222569779492915,19.791656080490394,0.1467644482295987,B,Marchais,ZTF21abultbr
13,0.6594097558408976,18.596697012333593,0.1748049616760721,R,Taylor,ZTF21abultbr
