,time,mag,magerr,filters,username,instrument
0,25.95371530018747,18.916077,0.07970869,r,N/A,ZTF
1,21.00396990031004,18.976877,0.09723485,g,N/A,ZTF
2,20.93921300023794,18.657076,0.062484335,r,N/A,ZTF
3,16.06555559998378,18.550577,0.09644604500000001,g,N/A,ZTF
4,10.006736100185663,17.754927,0.09105314,r,N/A,ZTF
5,4.999803300015628,17.1976,0.042851099999999996,r,N/A,ZTF
6,2.0197685002349317,16.881905,0.044149257000000004,g,N/A,ZTF
7,1.9717824002727866,16.739695,0.046890657,r,N/A,ZTF
8,0.037534700240939856,16.380384,0.036418594000000006,g,N/A,ZTF
9,0.0,16.373732,0.055180915000000004,r,N/A,ZTF
10,26.64312501111999,18.77512353770009,0.19591741337838017,V,Burkhonov,ZTF21ablssud
11,36.75844908552244,18.322431476264327,0.0,I,Burkhonov,ZTF21ablssud
12,41.71289352979511,18.692466180594707,0.0,I,Burkhonov,ZTF21ablssud
13,4.659004640765488,16.919257615271626,0.07900507597539662,I,Taylor,ZTF21ablssud
14,41.70638890005648,19.95590915005029,0.5556142086518217,R,Burkhonov,ZTF21ablssud
15,33.725358807481825,18.81304475919282,0.0,I,Burkhonov,ZTF21ablssud
16,2.606516215018928,16.844200942668063,0.007881974521809144,V,Marchais,ZTF21ablssud
17,27.61502315942198,19.23081403124274,0.2187255030747731,R,Burkhonov,ZTF21ablssud
18,32.698842603713274,20.82985798180906,0.8778408998343837,R,Burkhonov,ZTF21ablssud
19,3.7968287151306868,17.047601651232043,0.0871036923930888,V,Broens,ZTF21ablssud
20,26.658287048339844,18.513409127935915,0.13117015278130215,R,Burkhonov,ZTF21ablssud
21,41.72378473356366,18.961549295027517,0.32326593630071815,R,Burkhonov,ZTF21ablssud
22,8.73791667772457,17.335449917189855,0.06911716873141804,R,Broens,ZTF21ablssud
23,3.6033912147395313,17.257895295193045,0.10598698724030634,V,Cejudo,ZTF21ablssud
24,4.606770844664425,17.142688959849107,0.011939440647166667,V,Marchais,ZTF21ablssud
25,8.758043992798775,17.33780706215338,0.07724255702454096,R,Broens,ZTF21ablssud
26,3.6077662147581577,17.083315506631518,0.08205595220548866,V,Cejudo,ZTF21ablssud
27,36.76271991850808,17.719916441173353,0.0,R,Burkhonov,ZTF21ablssud
28,27.63241899292916,18.952887573402215,0.1667706408130046,R,Burkhonov,ZTF21ablssud
29,32.67925927042961,19.195944958950047,0.0,I,Burkhonov,ZTF21ablssud
30,33.72100695548579,20.503544601924737,1.0471915032917611,I,Burkhonov,ZTF21ablssud
31,4.794236122164875,16.915867296826896,0.1881356258982612,I,Broens,ZTF21ablssud
32,28.09283565916121,19.14985395669993,0.5643124008498925,I,Noysena,ZTF21ablssud
33,36.751944455783814,18.486940089587677,0.0,R,Burkhonov,ZTF21ablssud
34,26.651782418601215,18.657291543168064,0.13095296229867184,R,Burkhonov,ZTF21ablssud
35,4.777372696436942,17.495112848734223,0.0983451139548178,B,Broens,ZTF21ablssud
36,5.6675231591798365,17.64086372037407,0.049673286548374974,B,Montarrenti,ZTF21ablssud
37,13.618067140690982,18.76718187369496,0.134332440045166,B,Leonini,ZTF21ablssud
38,8.735821770504117,17.445907124432896,0.1264710003229263,R,Broens,ZTF21ablssud
39,41.710740752052516,18.66005014048373,0.0,R,Burkhonov,ZTF21ablssud
40,22.914386585354805,18.578193067197226,0.21200683412597088,I,Noysena,ZTF21ablssud
41,33.723194455727935,19.304179988269357,0.4193426436446452,R,Burkhonov,ZTF21ablssud
42,2.606516215018928,16.71826490978718,0.010149508112891734,R,Marchais,ZTF21ablssud
43,36.74759260378778,19.25047747701276,0.44821657907489854,R,Burkhonov,ZTF21ablssud
44,6.5772685296833515,17.0212019231813,0.12717577940081043,R,Galdies,ZTF21ablssud
45,3.593750011175871,16.890170361147497,0.029083830805224347,R,Kugel,ZTF21ablssud
46,5.6343402890488505,17.599692620196777,0.01604485901578016,B,Marchais,ZTF21ablssud
47,4.783692141063511,17.18359954246585,0.0446884265269732,V,Broens,ZTF21ablssud
48,29.69855325203389,20.81902145898127,0.9096506562842297,R,Burkhonov,ZTF21ablssud
49,4.637071770615876,17.145438401712752,0.03227936743993984,rmag,Taylor,ZTF21ablssud
50,2.635555566754192,16.390966126884095,0.07432815188383744,I,Taylor,ZTF21ablssud
51,3.6217014002613723,17.405531500340615,0.07235749724689791,V,Rousselot,ZTF21ablssud
52,27.610671307425946,18.737011856871835,0.29616223521079477,R,Burkhonov,ZTF21ablssud
53,32.68795139994472,20.200939323037396,0.5633916567301918,I,Burkhonov,ZTF21ablssud
54,8.744247696362436,17.13809618062302,0.2519419693353686,I,Broens,ZTF21ablssud
55,2.614155103918165,16.822278562527348,0.03100803005089834,rmag,Taylor,ZTF21ablssud
56,4.595659733284265,17.26296225203746,0.03691038846218487,gmag,Taylor,ZTF21ablssud
57,3.656261585187167,17.408880979042785,0.3257508253317035,I,eggenstein,ZTF21ablssud
58,30.723923622164875,20.83443149400748,1.678536813509276,R,Burkhonov,ZTF21ablssud
59,27.625879640690982,19.066755823881714,0.21129127455275368,I,Burkhonov,ZTF21ablssud
60,28.070185196585953,19.564079859617294,0.3265398001075313,R,Noysena,ZTF21ablssud
61,27.60633102990687,19.18894009993309,0.2604321009832099,R,Burkhonov,ZTF21ablssud
62,6.547696770634502,16.909550376679647,0.12017732731893026,R,Galdies,ZTF21ablssud
63,3.802141214720905,16.69799877273745,0.1388550262422441,I,Broens,ZTF21ablssud
64,2.6378819555975497,16.689011823392722,0.024985804857484226,V,Leroy,ZTF21ablssud
